sample-id	forward-absolute-filepath	reverse-absolute-filepath
4C6_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_10_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_10_R2.fastq
4N2_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_12_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_12_R2.fastq
4N4_24D	/mnt/run1/seqs/raw1/Fwd_10-Rev_13_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_13_R2.fastq
3N6_24D	/mnt/run1/seqs/raw1/Fwd_10-Rev_14_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_14_R2.fastq
3N5_24D	/mnt/run1/seqs/raw1/Fwd_10-Rev_15_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_15_R2.fastq
3N4_24D	/mnt/run1/seqs/raw1/Fwd_10-Rev_16_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_16_R2.fastq
3P4_20D	/mnt/run1/seqs/raw1/Fwd_10-Rev_17_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_17_R2.fastq
3P3_20D	/mnt/run1/seqs/raw1/Fwd_10-Rev_18_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_18_R2.fastq
3N5_20D	/mnt/run1/seqs/raw1/Fwd_10-Rev_19_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_19_R2.fastq
3P3_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_02_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_02_R2.fastq
3C4_20D	/mnt/run1/seqs/raw1/Fwd_10-Rev_20_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_20_R2.fastq
2P2_20D	/mnt/run1/seqs/raw1/Fwd_10-Rev_21_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_21_R2.fastq
2C4_20D	/mnt/run1/seqs/raw1/Fwd_10-Rev_22_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_22_R2.fastq
4N4_16D	/mnt/run1/seqs/raw1/Fwd_10-Rev_23_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_23_R2.fastq
4C1_12D	/mnt/run1/seqs/raw1/Fwd_10-Rev_24_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_24_R2.fastq
3P4_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_03_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_03_R2.fastq
3P2_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_30_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_30_R2.fastq
4N1_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_31_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_31_R2.fastq
3P5_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_04_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_04_R2.fastq
3P6_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_05_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_05_R2.fastq
4C1_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_06_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_06_R2.fastq
4C3_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_07_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_07_R2.fastq
4C4_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_08_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_08_R2.fastq
4C5_1D	/mnt/run1/seqs/raw1/Fwd_10-Rev_09_R1.fastq	/mnt/run1/seqs/raw1/Fwd_10-Rev_09_R2.fastq
2C1_3D	/mnt/run1/seqs/raw1/Fwd_11-Rev_10_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_10_R2.fastq
2C3_3D	/mnt/run1/seqs/raw1/Fwd_11-Rev_12_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_12_R2.fastq
2N1_37D	/mnt/run1/seqs/raw1/Fwd_11-Rev_13_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_13_R2.fastq
2C6_37D	/mnt/run1/seqs/raw1/Fwd_11-Rev_14_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_14_R2.fastq
2C5_37D	/mnt/run1/seqs/raw1/Fwd_11-Rev_15_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_15_R2.fastq
2C4_37D	/mnt/run1/seqs/raw1/Fwd_11-Rev_16_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_16_R2.fastq
2C3_37D	/mnt/run1/seqs/raw1/Fwd_11-Rev_17_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_17_R2.fastq
4P6_34D	/mnt/run1/seqs/raw1/Fwd_11-Rev_18_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_18_R2.fastq
4P5_34D	/mnt/run1/seqs/raw1/Fwd_11-Rev_19_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_19_R2.fastq
4N4_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_02_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_02_R2.fastq
4P4_34D	/mnt/run1/seqs/raw1/Fwd_11-Rev_20_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_20_R2.fastq
4P3_34D	/mnt/run1/seqs/raw1/Fwd_11-Rev_21_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_21_R2.fastq
4P2_34D	/mnt/run1/seqs/raw1/Fwd_11-Rev_22_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_22_R2.fastq
4C3_28D	/mnt/run1/seqs/raw1/Fwd_11-Rev_23_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_23_R2.fastq
4C1_28D	/mnt/run1/seqs/raw1/Fwd_11-Rev_24_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_24_R2.fastq
4N6_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_03_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_03_R2.fastq
4N3_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_30_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_30_R2.fastq
2C2_3D	/mnt/run1/seqs/raw1/Fwd_11-Rev_31_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_31_R2.fastq
4P1_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_04_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_04_R2.fastq
4P2_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_05_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_05_R2.fastq
4P3_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_06_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_06_R2.fastq
4P4_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_07_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_07_R2.fastq
4P5_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_08_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_08_R2.fastq
4P6_1D	/mnt/run1/seqs/raw1/Fwd_11-Rev_09_R1.fastq	/mnt/run1/seqs/raw1/Fwd_11-Rev_09_R2.fastq
2P1_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_10_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_10_R2.fastq
2P3_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_12_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_12_R2.fastq
3C1_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_13_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_13_R2.fastq
2P6_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_14_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_14_R2.fastq
2P5_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_15_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_15_R2.fastq
2P4_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_16_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_16_R2.fastq
2P3_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_17_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_17_R2.fastq
2P2_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_18_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_18_R2.fastq
